Album,Artist(s),RollingStoneRating,ArtistName,,,,,,,,,,,,sql
The Stranger,Billy Joel,169,"(N'Billy Joel'),",,,,,,,,,,,,"(N'The Stranger', N'Billy Joel'),"
Disraeli Gears,Cream,170,"(N'Cream'),",,,,,,,,,,,,"(N'Disraeli Gears', N'Cream'),"
Daydream Nation,Sonic Youth,171,"(N'Sonic Youth'),",,,,,,,,,,,,"(N'Daydream Nation', N'Sonic Youth'),"
Bridge over Troubled Water,Simon & Garfunkel,172,"(N'Simon & Garfunkel'),",,,,,,,,,,,,"(N'Bridge over Troubled Water', N'Simon & Garfunkel'),"
In Utero,Nirvana,173,"(N'Nirvana'),",,,,,,,,,,,,"(N'In Utero', N'Nirvana'),"
The Harder They Come,Various artists,174,"(N'Various artists'),",,,,,,,,,,,,"(N'The Harder They Come', N'Various artists'),"
Damn,Kendrick Lamar,175,"(N'Kendrick Lamar'),",,,,,,,,,,,,"(N'Damn', N'Kendrick Lamar'),"
Fear of a Black Planet,Public Enemy,176,"(N'Public Enemy'),",,,,,,,,,,,,"(N'Fear of a Black Planet', N'Public Enemy'),"
Every Picture Tells a Story,Rod Stewart,177,"(N'Rod Stewart'),",,,,,,,,,,,,"(N'Every Picture Tells a Story', N'Rod Stewart'),"
Otis Blue/Otis Redding Sings Soul,Otis Redding,178,"(N'Otis Redding'),",,,,,,,,,,,,"(N'Otis Blue/Otis Redding Sings Soul', N'Otis Redding'),"
Life After Death,The Notorious B.I.G.,179,"(N'The Notorious B.I.G.'),",,,,,,,,,,,,"(N'Life After Death', N'The Notorious B.I.G.'),"
Forever Changes,Love,180,"(N'Love'),",,,,,,,,,,,,"(N'Forever Changes', N'Love'),"
Bringing It All Back Home,Bob Dylan,181,"(N'Bob Dylan'),",,,,,,,,,,,,"(N'Bringing It All Back Home', N'Bob Dylan'),"
Sweet Baby James,James Taylor,182,"(N'James Taylor'),",,,,,,,,,,,,"(N'Sweet Baby James', N'James Taylor'),"
Brown Sugar,D'Angelo,183,"(N'D'Angelo'),",,,,,,,,,,,,"(N'Brown Sugar', N'D'Angelo'),"
She's So Unusual,Cyndi Lauper,184,"(N'Cyndi Lauper'),",,,,,,,,,,,,"(N'She's So Unusual', N'Cyndi Lauper'),"
Beggars Banquet,The Rolling Stones,185,"(N'The Rolling Stones'),",,,,,,,,,,,,"(N'Beggars Banquet', N'The Rolling Stones'),"
Blood Sugar Sex Magik,Red Hot Chili Peppers,186,"(N'Red Hot Chili Peppers'),",,,,,,,,,,,,"(N'Blood Sugar Sex Magik', N'Red Hot Chili Peppers'),"
AmeriKKKa's Most Wanted,Ice Cube,187,"(N'Ice Cube'),",,,,,,,,,,,,"(N'AmeriKKKa's Most Wanted', N'Ice Cube'),"
Electric Warrior,T. Rex,188,"(N'T. Rex'),",,,,,,,,,,,,"(N'Electric Warrior', N'T. Rex'),"
Dig Me Out,Sleater-Kinney,189,"(N'Sleater-Kinney'),",,,,,,,,,,,,"(N'Dig Me Out', N'Sleater-Kinney'),"
Tommy,The Who,190,"(N'The Who'),",,,,,,,,,,,,"(N'Tommy', N'The Who'),"
At Last!,Etta James,191,"(N'Etta James'),",,,,,,,,,,,,"(N'At Last!', N'Etta James'),"
Licensed to Ill,Beastie Boys,192,"(N'Beastie Boys'),",,,,,,,,,,,,"(N'Licensed to Ill', N'Beastie Boys'),"
Willy and the Poor Boys,Creedence Clearwater Revival,193,"(N'Creedence Clearwater Revival'),",,,,,,,,,,,,"(N'Willy and the Poor Boys', N'Creedence Clearwater Revival'),"
Bad,Michael Jackson,194,"(N'Michael Jackson'),",,,,,,,,,,,,"(N'Bad', N'Michael Jackson'),"
Songs of Leonard Cohen,Leonard Cohen,195,"(N'Leonard Cohen'),",,,,,,,,,,,,"(N'Songs of Leonard Cohen', N'Leonard Cohen'),"
Body Talk,Robyn,196,"(N'Robyn'),",,,,,,,,,,,,"(N'Body Talk', N'Robyn'),"
Meet the Beatles!,The Beatles,197,"(N'The Beatles'),",,,,,,,,,,,,"(N'Meet the Beatles!', N'The Beatles'),"
The B-52's,The B-52's,198,"(N'The B-52's'),",,,,,,,,,,,,"(N'The B-52's', N'The B-52's'),"
Slanted and Enchanted,Pavement,199,"(N'Pavement'),",,,,,,,,,,,,"(N'Slanted and Enchanted', N'Pavement'),"
Diamond Life,Sade,200,"(N'Sade'),",,,,,,,,,,,,"(N'Diamond Life', N'Sade'),"
Midnight Marauders,A Tribe Called Quest,201,"(N'A Tribe Called Quest'),",,,,,,,,,,,,"(N'Midnight Marauders', N'A Tribe Called Quest'),"
Homogenic,Björk,202,"(N'Björk'),",,,,,,,,,,,,"(N'Homogenic', N'Björk'),"
Pink Moon,Nick Drake,203,"(N'Nick Drake'),",,,,,,,,,,,,"(N'Pink Moon', N'Nick Drake'),"
Graduation,Kanye West,204,"(N'Kanye West'),",,,,,,,,,,,,"(N'Graduation', N'Kanye West'),"
Tea for the Tillerman,Cat Stevens,205,"(N'Cat Stevens'),",,,,,,,,,,,,"(N'Tea for the Tillerman', N'Cat Stevens'),"
Low,David Bowie,206,"(N'David Bowie'),",,,,,,,,,,,,"(N'Low', N'David Bowie'),"
